name,time,star_rank,star_normalized_rank,push_rank,push_normalized_rank,pull_rank,pull_normalized_rank,issue_rank,issue_normalized_rank
C_plus_plus,2018_2,5.0,13.0,5.0,16.0,5.0,4.0,4.0,2.0
PHP,2018_2,6.0,10.0,4.0,5.0,7.0,12.0,5.0,12.0
C,2018_2,7.0,11.0,9.0,17.0,10.0,13.0,9.0,13.0
TypeScript,2018_2,8.0,8.0,10.0,4.0,8.0,3.0,7.0,1.0
C_sharp,2018_2,9.0,2.0,6.0,2.0,9.0,19.0,8.0,7.0
Swift,2018_2,10.0,15.0,12.0,8.0,12.0,6.0,11.0,6.0
Objective-C,2018_2,11.0,14.0,14.0,18.0,14.0,15.0,12.0,11.0
Ruby,2018_2,12.0,17.0,7.0,15.0,6.0,16.0,10.0,15.0
Kotlin,2018_2,13.0,1.0,15.0,1.0,15.0,1.0,14.0,4.0
Rust,2018_2,14.0,19.0,13.0,13.0,13.0,14.0,15.0,17.0
Scala,2018_2,15.0,7.0,11.0,12.0,11.0,10.0,13.0,14.0
Lua,2018_2,16.0,16.0,18.0,19.0,16.0,5.0,16.0,16.0
Perl,2018_2,17.0,9.0,16.0,10.0,17.0,17.0,18.0,18.0
R,2018_2,18.0,4.0,17.0,9.0,19.0,2.0,17.0,3.0
Dart,2018_2,19.0,18.0,19.0,3.0,18.0,18.0,19.0,19.0
JavaScript,2018_3,1.0,3.0,1.0,17.0,1.0,10.0,1.0,8.0
Python,2018_3,2.0,8.0,2.0,10.0,2.0,8.0,2.0,9.0
Java,2018_3,3.0,7.0,3.0,12.0,3.0,12.0,3.0,7.0
Go,2018_3,4.0,2.0,7.0,6.0,4.0,2.0,5.0,4.0
C_plus_plus,2018_3,5.0,14.0,5.0,14.0,5.0,3.0,4.0,1.0
PHP,2018_3,6.0,10.0,4.0,3.0,7.0,15.0,6.0,14.0
C,2018_3,7.0,9.0,9.0,16.0,10.0,11.0,9.0,15.0
TypeScript,2018_3,8.0,6.0,10.0,4.0,8.0,6.0,7.0,2.0
C_sharp,2018_3,9.0,5.0,6.0,2.0,9.0,18.0,8.0,10.0
Swift,2018_3,10.0,15.0,12.0,7.0,12.0,5.0,11.0,5.0
Ruby,2018_3,11.0,13.0,8.0,15.0,6.0,16.0,10.0,17.0
Objective-C,2018_3,12.0,16.0,15.0,18.0,14.0,13.0,12.0,11.0
Kotlin,2018_3,13.0,1.0,14.0,1.0,15.0,1.0,14.0,3.0
Rust,2018_3,14.0,19.0,13.0,8.0,13.0,14.0,13.0,13.0
Scala,2018_3,15.0,11.0,11.0,9.0,11.0,9.0,15.0,16.0
Lua,2018_3,16.0,17.0,17.0,19.0,16.0,7.0,16.0,12.0
Perl,2018_3,17.0,12.0,16.0,13.0,17.0,19.0,18.0,18.0
R,2018_3,18.0,4.0,18.0,11.0,19.0,4.0,17.0,6.0
Dart,2018_3,19.0,18.0,19.0,5.0,18.0,17.0,19.0,19.0
